speaker,utterance
EPH,+≈ no: [!] ↗
SON,+≈ no→
EPH,+≈ ih: I <put it> [/] I left it by Rei:ch: [!] (1.4) probably didn't see it→ left it hanging on his door→ he wasn't home→ I wanted to bring it to his so:n→ (1.1) he didn't [/] he didn't give it to you→
SON,"yeah::, he [/] he went into the city, ye(sterday) [/] umm, two days"
EPH,◉who◉ ↗
SON,reich →
EPH,he coming back ↗
SON,I don't know he probably won't come ◉back◉ here→
EPH,"ahh (0.5) I'll find out what happened, I'll have to call him→"
SON,⌈oka::y⌉ .
EPH,⌊I'll find out⌋ ◉what's doing there◉ ↗
SON,+≈ barux Hashem→
EPH,+≈ you going to be able to come ⌈home⌉ ↗
SON,⌊hhh I got [/] a rebbe's going in⌋ .
EPH,+≈ yeah::→
SON,+≈ tomorrow one o'clock →
EPH,+≈ uh hu::h hhh ↗
SON,+≈ ∙hhh An:d: [/] ∙hh I asked him if he has room→
EPH,+≈ yeah:↗
SON,"+≈ he said, he's going to have a fifteen year old girl in the back→"
EPH,+≈ ya h:↗
SON,"+≈ it's ◉up to you◉, if <you want> [//] if you don't want that I"
EPH,"(0.5) oh, it's no problem, just her's going to be there→"
SON,wha::↗
EPH,just she's going to be there →
SON,right (0.270) →
EPH,"ok, so you put episs@s a ⌈bag⌉ in the middle then that's all→"
SON,"⌊oh⌋ (0.5) but (0.5) and then [/] and I asked him, Esther asked if I"
EPH,yeah:↗
SON,hhh So he said he could pick her up if she [/] she waits like on
EPH,(0.5) uh hu:h→
SON,"an:d then she could sit, in between the girl and me→"
EPH,(0.4) right (0.9) Uh huh → (0.6) [UNINTELLIGIBLE] ⌈I don't know how⌉→
SON,"⌊well, I have to call Esther⌋ now→"
EPH,◉hu:h◉ ↗
SON,I have to call Esther now →
EPH,how could she wait on the ◉road◉ I mean →
SON,(0.4) what's her calling card number (0.5) I'll call Esther now→
EPH,(1.) what calling card number ↗
SON,esther's calling card →
EPH,(0.7) what do you mean Esther [/] Esther doesn't have a calling
SON,"+≈ oh yeah, whatever, we could call a certain time→"
EPH,(1.9) I don't know what you mean →
SON,(0.7) she told me yesterday you sent her out this calling card→
EPH,"(0.8) ◉oh yeah, I sent Esther a calling card◉ but it's, it's→ (0.5) she has the number, she has it, I dunno→"
SON,(0.6) ⌈[UNINTELLIGIBLE]⌉→
EPH,⌊What do you⌋ need it for ↗
SON,(0.6) want to call Esther today →
EPH,"(0.7) oh, you want to call on her card ↗"
SON,yes→
EPH,let me see Maybe I wrote down the number here→ (0.9) u::h h: you have a pen↗
SON,"uh, I don't know I <have> [/] her telephone number→"
EPH,"(1.) I understand, but you need a whole bunch of numbers You have"
SON,(0.7) oh →
EPH,(1.4) you have a pen ↗
SON,(0.4) I gotta get one One minute→
EPH,"(0.7) how fast can you get one → (4.3) ⁎get a pen, get a pen⁎ . (6.6) I don't know→ I don't see the number here anyway→ hhh→ (41.2) [BREATHING] → I don't see it here→ I don't know→ I wrote it down someplace→ I don't know→ (1.1) I wrote it→ there [/] this is it↗ (0.6) no→ (1.3) hhh→ (2.2) hhh→ (1.) he went to get a pen but I don't have the number anyway→ (1.2) hhh Oh, hhh there→ maybe this is it↗ yeah, I have it→"
SON,(3.9) 0 [% phone click] (0.9) hello ↗
EPH,+≈ ye:ah [!]
SON,<yeah> [% breathy voice] →
EPH,"◉ok◉, You do like this (.) you dial ∙hhh (0.600) U::hh, one eight"
SON,(0.4) <one eight hundred> [% softly as if to self] .
EPH,"six two six, hhh→"
SON,(1.) yeah →
EPH,three nine nine eight →
SON,"(0.4) nine nine eight, ye:a:h ↗"
EPH,"+≈ and then you'll hear uhh voice tone It'll say u::hh→ +"" put in your u::hh code number→"
SON,"yeah, so what is this →"
EPH,yeah It's six two eight →
SON,(1.) ∙hh °six two eight° →
EPH,nine two five →
SON,°nine two five°→
EPH,two seven →
SON,(0.8) °two seven°→
EPH,eight nine→
SON,(0.4) “eight nine” wow ∙hh →
EPH,"and then u::h, then you'll hear a voice tone, it'll say u::hh→ +"" dial the number (.) → +"" dial your number that you're calling→"
SON,di(al) [UNINTELLIGIBLE] (0.5) ye:ah→
EPH,+≈ you just dial her number →
SON,(0.5) seven eight three eight eight two one↗
EPH,di(al) (1.7) Eight eight→ I don't know what her number is You wanna know her ◉number◉ oh→
SON,"dad, she gave it to me last night→ I have enough ⌈hhh⌉→"
EPH,⌊Yea:h⌋ . ∙hhh okay but I don't think it's a good idea that she should wait it's not a ⌈good idea⌉→
SON,⌊wha::: ⌋↗
EPH,◉it's not a good idea she should wait by the road◉ let her get her (0.6) she can't know when he's going to come and it's a sakana@s to you have to wait on the seventeen↗
SON,+≈ not really on the road he told me ◉not◉ on the highway→
EPH,ye:a:h ↗
SON,"on the road inside of camp, not in a bunkhouse or something He'll"
EPH,(1.2) he'll go in the [/] into [/] to Monroe ↗
SON,"(0.4) he told me, he &~t, he's passing Monroe anyways It's on the"
EPH,"(0.4) ye::a:h It's, It's out of the way→"
SON,so →
EPH,"(0.5) I w[/] I was at, I just went to Monroe It's out of the way"
SON,oh →
EPH,+≈ and even to go into Monro:e (0.350) and to go off the highway to (0.330) ∙hh→
SON,[UNINTELLIGIBLE] →
EPH,"don't be matriax_him@s any further, (0.350) ∙hh You just uh, uh↗"
SON,"[UNINTELLIGIBLE]→ (4.3) yeah, well→"
EPH,"+≈ you just tell her +"". +"" tatie@s said you should not do it →"
SON,"ok, so I'll tell her to get her own ride→"
EPH,"◉tell her to find her own ride◉, or she could take a bus, so she"
SON,(0.8) ⌈ ok⌉ →
EPH,"⌊Ok if she has⌋ any trouble, she should call me (.) but I <don't>"
SON,⌊I asked him⌋ already ⌈so I'll tell him forget about it shecan do
EPH,"⌊Well, you just [/] just [/] unask him, you can tell him⌋ send a"
SON,⌊yea:h⌋→
EPH,that's no ◉problem◉ (0.300) ∙hh and you just [/] that I don't want
SON,⌊[UNINTELLIGIBLE]⌋→
EPH,it took us an hour to find Esther's bunk one time once we were ◉in
SON,(0.6) o⌈k⌉↗
EPH,"⌊it's⌋ a ◉farkruxena@s place◉ (0.380) so tell Esther, forget about ◉that◉↗ she should find her own ride ◉home◉↗ if she can't, she should call me→"
SON,(0.4) okay→
EPH,"ok, [UNINTELLIGIBLE] ⌈So then we'll see you, im_yirtse_hashem@s ⌉→"
SON,"⌊ [UNINTELLIGIBLE] ⌋ she should just go home, she shouldn't call you [STATIC→]"
EPH,what ↗
SON,"if she, if she ⌈finds⌉ a ride, she should just +/."
EPH,"⌊[UNINTELLIGIBLE]⌋→ ye:a:h, if she finds a ride come home↗ if she has any problems today, let her call me →"
SON,"[UNINTELLIGIBLE] → oh, ok→"
EPH,"+≈ alright, so you'll be home around three thirty, four↗"
SON,"(0.8) so he's leav[/], said he'll leave one o'clock, ⌈so⌉→"
EPH,⌊He's⌋ coming to Bourough Park →
SON,"(1.1) yeah, I think so, ⌈yeah⌉→"
EPH,⌊Uh huh⌋→
SON,+≈ to where I live →
EPH,"o::k, very good Anything, uh, anything you want to take care of a"
SON,+≈ glasses broke today →
EPH,+≈ your ◉glasses◉ broke What happened→
SON,+≈ yeah and I mean you could just get a new handle [UNINTELLIGIBLE] said he may
EPH,+≈ uh huh Ok Bring all the parts home →
SON,yeah→
EPH,"okay, [UNINTELLIGIBLE] ↗"
SON,okay hhh→
EPH,"+≈ okay, so we'll see you, im_yirtse_hashem@s, uh, tomorrow,"
SON,⌊okay⌋
EPH,"the Vort@s is in Flatbush, at East seventeenth street→"
SON,(0.5) a ha:ll ↗
EPH,"ye:::ah, a ha:ll in a shu:l →"
SON,(0.7) and then little Chaya is nice ↗
EPH,"chaya's beautiful→ we have pictures→ ⌈They took⌉ pictures, huh↗"
SON,"⌊Oh, is it by their house⌋ ↗ (0.3) what, is it by their house↗"
EPH,"+≈ in ◉their◉ house→ yeah, I'll tell you everything when you come home [UNINTELLIGIBLE]→"
SON,⌈Okay⌉ →
EPH,⌊Yeah⌋ → ◉oka::y◉ Zai@s gezunt@s hhh we're looking forward to seeing you→
SON,"okay, ⌈bye⌉→"
EPH,⌊kol tuv⌋ bye bye →
