turn_id,speaker,start,stop,utterance,prev_utterance,label
60,5ec8a23062738338f917576a,124.14,124.34,Yeah.,Yeah. Yeah that's,1
61,5f1f2cf5a441a30fa1b79b2d,124.23,125.46,sweet. That's,Yeah.,1
62,5ec8a23062738338f917576a,125.44,125.64,Yeah.,sweet. That's,1
63,5f1f2cf5a441a30fa1b79b2d,125.47,127.06,how long have you been in Atlanta?,Yeah.,2
64,5ec8a23062738338f917576a,127.54,139.25,Um So I went to U. G. A. For school so I lived in Athens for four years and then now I'm in grad school at Emory so It's been like six or 7 years. Yeah,how long have you been in Atlanta?,2
65,5f1f2cf5a441a30fa1b79b2d,139.24,139.78,Oh,Um So I went to U. G. A. For school so I lived in Athens for four years and then now I'm in grad school at Emory so It's been like six or 7 years. Yeah,1
66,5ec8a23062738338f917576a,139.64,139.84,and,Oh,1
67,5f1f2cf5a441a30fa1b79b2d,139.79,140.16,that's,and,1
68,5ec8a23062738338f917576a,139.84,140.36,I have something,that's,1
69,5f1f2cf5a441a30fa1b79b2d,140.16,140.46,right,I have something,1
70,5ec8a23062738338f917576a,140.55,141.65,that lives here. So,right,1
71,5f1f2cf5a441a30fa1b79b2d,142.44,144.75,alright. Is Athens in Georgia as well?,that lives here. So,2
72,5ec8a23062738338f917576a,144.74,146.86,yeah Athens is in Georgia,alright. Is Athens in Georgia as well?,1
73,5f1f2cf5a441a30fa1b79b2d,145.94,147.58,Oh not,yeah Athens is in Georgia,1
74,5ec8a23062738338f917576a,147.54,148.2,it's,Oh not,1
75,5f1f2cf5a441a30fa1b79b2d,147.58,148.86,not that.,it's,1
76,5ec8a23062738338f917576a,148.2,151.26,kind of like a college town so it's pretty small but it's nice.,not that.,2
77,5f1f2cf5a441a30fa1b79b2d,151.24,151.56,Uh huh.,kind of like a college town so it's pretty small but it's nice.,1
78,5ec8a23062738338f917576a,152.04,152.55,Mhm.,Uh huh.,1
79,5f1f2cf5a441a30fa1b79b2d,152.04,154.36,Oh cool. Um,Mhm.,1
80,5ec8a23062738338f917576a,154.14,154.67,Three.,Oh cool. Um,1
81,5f1f2cf5a441a30fa1b79b2d,154.37,155.61,I went to I,Three.,1
82,5ec8a23062738338f917576a,155.44,155.69,Oh,I went to I,1
83,5f1f2cf5a441a30fa1b79b2d,155.61,155.85,went,Oh,1
84,5ec8a23062738338f917576a,155.7,156.16,what?,went,2
85,5f1f2cf5a441a30fa1b79b2d,155.85,161.95,to uh I I moved here from New Zealand just a few months here just about a month ago.,what?,1
86,5ec8a23062738338f917576a,162.54,162.96,Okay.,to uh I I moved here from New Zealand just a few months here just about a month ago.,1
87,5f1f2cf5a441a30fa1b79b2d,162.64,163.54,Uh,Okay.,1
88,5ec8a23062738338f917576a,162.97,163.35,Well,Uh,3
89,5f1f2cf5a441a30fa1b79b2d,163.55,165.46,University in New Zealand.,Well,2
90,5ec8a23062738338f917576a,165.84,166.16,okay,University in New Zealand.,1
91,5f1f2cf5a441a30fa1b79b2d,165.84,166.56,Um,okay,1
92,5ec8a23062738338f917576a,166.54,166.95,so how,Um,1
93,5f1f2cf5a441a30fa1b79b2d,166.94,167.09,Uh,so how,1
94,5ec8a23062738338f917576a,166.95,167.19,come,Uh,1
95,5f1f2cf5a441a30fa1b79b2d,167.09,167.35,huh.,come,1
96,5ec8a23062738338f917576a,167.2,168.46,for a job or?,huh.,2
97,5f1f2cf5a441a30fa1b79b2d,169.04,171.05,"No, to live with my girlfriend.",for a job or?,2
98,5ec8a23062738338f917576a,171.24,172.16,Okay nice.,"No, to live with my girlfriend.",1
99,5f1f2cf5a441a30fa1b79b2d,172.04,175.66,"Yeah she she's working over here, she got a job in Rhode island.",Okay nice.,1
100,5ec8a23062738338f917576a,175.94,176.79,She,"Yeah she she's working over here, she got a job in Rhode island.",1
101,5f1f2cf5a441a30fa1b79b2d,176.04,176.66,Um,She,1
102,5ec8a23062738338f917576a,176.79,177.32,also from,Um,1
103,5f1f2cf5a441a30fa1b79b2d,177.14,177.34,Yeah,also from,1
104,5ec8a23062738338f917576a,177.33,178.16,Zeeland or,Yeah,1
105,5f1f2cf5a441a30fa1b79b2d,178.64,181.48,no she's from California but,Zeeland or,2
106,5ec8a23062738338f917576a,180.54,180.75,are?,no she's from California but,1
107,5f1f2cf5a441a30fa1b79b2d,181.49,184.46,we met when she was on exchange in New Zealand.,are?,2
108,5ec8a23062738338f917576a,184.74,186.11,Oh nice. Okay. That sounds,we met when she was on exchange in New Zealand.,1
109,5f1f2cf5a441a30fa1b79b2d,185.94,186.56,Yeah.,Oh nice. Okay. That sounds,1
110,5ec8a23062738338f917576a,186.11,190.05,like I would love to go to new Zealand for like exchange program or something.,Yeah.,2
111,5f1f2cf5a441a30fa1b79b2d,189.64,191.06,Yeah. Yeah.,like I would love to go to new Zealand for like exchange program or something.,1
112,5ec8a23062738338f917576a,190.84,191.34,Yeah.,Yeah. Yeah.,1
113,5f1f2cf5a441a30fa1b79b2d,191.07,192.05,Yeah.,Yeah.,1
114,5ec8a23062738338f917576a,191.84,192.85,Yeah.,Yeah.,1
115,5f1f2cf5a441a30fa1b79b2d,192.06,197.36,It's funny. Yeah she said the reason that she picked museum is because,Yeah.,2
116,5ec8a23062738338f917576a,197.24,197.45,Mhm.,It's funny. Yeah she said the reason that she picked museum is because,1
117,5f1f2cf5a441a30fa1b79b2d,197.84,201.46,it's a country that should probably never go to otherwise.,Mhm.,2
118,5ec8a23062738338f917576a,201.74,202.32,Right.,it's a country that should probably never go to otherwise.,1
119,5f1f2cf5a441a30fa1b79b2d,201.94,202.45,Um,Right.,1
120,5ec8a23062738338f917576a,202.33,203.74,Yeah,Um,1
121,5f1f2cf5a441a30fa1b79b2d,203.04,207.86,And then yeah and then she ended up coming back.,Yeah,1
122,5ec8a23062738338f917576a,207.24,209.14,wow. I know,And then yeah and then she ended up coming back.,1
123,5f1f2cf5a441a30fa1b79b2d,208.94,209.35,Yeah.,wow. I know,1
124,5ec8a23062738338f917576a,209.15,215.33,it's kind of like it's out of the way so it's kind of hard to visit I guess because,Yeah.,2
125,5f1f2cf5a441a30fa1b79b2d,215.04,215.76,Mhm.,it's kind of like it's out of the way so it's kind of hard to visit I guess because,1
126,5ec8a23062738338f917576a,215.33,219.97,I lived in India like my family lives in India so we travel around Asia a lot because it's so easy.,Mhm.,2
127,5f1f2cf5a441a30fa1b79b2d,219.64,220.28,Yeah.,I lived in India like my family lives in India so we travel around Asia a lot because it's so easy.,1
128,5ec8a23062738338f917576a,219.98,220.33,Like the,Yeah.,1
129,5f1f2cf5a441a30fa1b79b2d,220.29,220.56,Yeah,Like the,1
130,5ec8a23062738338f917576a,220.33,225.95,flights are cheap but we've never gone like outside like to europe or to Australia and new Zealand.,Yeah,2
131,5f1f2cf5a441a30fa1b79b2d,225.84,226.28,cost,flights are cheap but we've never gone like outside like to europe or to Australia and new Zealand.,1
132,5ec8a23062738338f917576a,226.0,226.43,It's,cost,1
133,5f1f2cf5a441a30fa1b79b2d,226.28,226.46,me.,It's,1
134,5ec8a23062738338f917576a,226.43,229.1,too far.,me.,3
135,5f1f2cf5a441a30fa1b79b2d,228.44,232.26,Yeah I know there's nothing close really like,too far.,1
136,5ec8a23062738338f917576a,232.34,233.45,Right?,Yeah I know there's nothing close really like,1
137,5f1f2cf5a441a30fa1b79b2d,234.04,245.56,"Australia, the closest part of Australia is about two hours away so that's that's all good. But Australia is like huge and you have to get across that to get to anywhere else apart from the pacific islands.",Right?,2
138,5ec8a23062738338f917576a,245.94,246.44,"Oh,","Australia, the closest part of Australia is about two hours away so that's that's all good. But Australia is like huge and you have to get across that to get to anywhere else apart from the pacific islands.",1
139,5f1f2cf5a441a30fa1b79b2d,246.14,246.74,So like,"Oh,",1
140,5ec8a23062738338f917576a,246.45,246.96,okay.,So like,1
141,5f1f2cf5a441a30fa1b79b2d,246.75,252.46,we're looking at like if you want to get to like any other major country it's like at least an eight or 10 hour flight,okay.,2
142,5ec8a23062738338f917576a,253.04,253.76,Right.,we're looking at like if you want to get to like any other major country it's like at least an eight or 10 hour flight,1
143,5f1f2cf5a441a30fa1b79b2d,254.24,258.05,Which is like to get to L. A. And it's like 12 hours and that's.,Right.,1
144,5ec8a23062738338f917576a,257.64,258.73,Yeah.,Which is like to get to L. A. And it's like 12 hours and that's.,1
145,5f1f2cf5a441a30fa1b79b2d,258.44,259.35,Uh huh.,Yeah.,1
146,5ec8a23062738338f917576a,258.74,259.87,"Oh yeah, that's what",Uh huh.,1
147,5f1f2cf5a441a30fa1b79b2d,259.36,260.15,Russian.,"Oh yeah, that's what",1
148,5ec8a23062738338f917576a,259.88,262.56,it's definitely like a trip you have to plan. So,Russian.,2
149,5f1f2cf5a441a30fa1b79b2d,262.34,262.84,Yeah.,it's definitely like a trip you have to plan. So,1
150,5ec8a23062738338f917576a,262.57,263.82,it's not like a,Yeah.,3
151,5f1f2cf5a441a30fa1b79b2d,263.74,263.94,Yeah.,it's not like a,1
152,5ec8a23062738338f917576a,263.82,266.4,"few hours, but that's really cool. Um,",Yeah.,2
153,5f1f2cf5a441a30fa1b79b2d,266.24,266.56,Yeah.,"few hours, but that's really cool. Um,",1
154,5ec8a23062738338f917576a,266.41,268.05,"you're in new Zealand, are you from?",Yeah.,2
155,5f1f2cf5a441a30fa1b79b2d,268.74,279.37,Um I lived in Auckland for about seven years and then went to university in Wellington which,"you're in new Zealand, are you from?",2
156,5ec8a23062738338f917576a,279.34,279.75,"Yeah,",Um I lived in Auckland for about seven years and then went to university in Wellington which,1
157,5f1f2cf5a441a30fa1b79b2d,279.37,281.66,is the capital. Um And that's,"Yeah,",1
158,5ec8a23062738338f917576a,281.54,281.74,"yeah,",is the capital. Um And that's,1
159,5f1f2cf5a441a30fa1b79b2d,281.66,285.46,like I went yeah I went there for three years. Um,"yeah,",2
160,5ec8a23062738338f917576a,285.04,285.24,yeah.,like I went yeah I went there for three years. Um,1
161,5f1f2cf5a441a30fa1b79b2d,286.44,289.56,But I wasn't actually born there was born in England. Um,yeah.,2
162,5ec8a23062738338f917576a,289.24,289.65,Yeah.,But I wasn't actually born there was born in England. Um,1
163,5f1f2cf5a441a30fa1b79b2d,290.24,292.85,So I lived I lived about 10 years in England as well.,Yeah.,2
164,5ec8a23062738338f917576a,293.14,294.26,Okay. So is,So I lived I lived about 10 years in England as well.,1
165,5f1f2cf5a441a30fa1b79b2d,294.14,294.64,Yeah.,Okay. So is,1
166,5ec8a23062738338f917576a,294.26,296.54,your accent more english,Yeah.,2
167,5f1f2cf5a441a30fa1b79b2d,295.74,295.95,Mhm.,your accent more english,1
168,5ec8a23062738338f917576a,296.55,297.55,"than, or",Mhm.,1
169,5f1f2cf5a441a30fa1b79b2d,297.34,297.85,"From,","than, or",1
170,5ec8a23062738338f917576a,298.34,298.96,cause I can't really,"From,",2
171,5f1f2cf5a441a30fa1b79b2d,298.94,299.15,mm.,cause I can't really,1
172,5ec8a23062738338f917576a,298.96,300.65,"tell the difference, but",mm.,1
173,5f1f2cf5a441a30fa1b79b2d,299.64,303.96,Yeah it's really um it's not strong,"tell the difference, but",1
174,5ec8a23062738338f917576a,303.94,304.36,Okay.,Yeah it's really um it's not strong,1
175,5f1f2cf5a441a30fa1b79b2d,303.97,317.46,it's like not strong of either one instead of just like a very middle kind of blend but depending on who I talk to. People say that they can pick up the english accent or they can pick up certain words that sound like a kiwi accent.,Okay.,2
176,5ec8a23062738338f917576a,317.74,318.16,Okay.,it's like not strong of either one instead of just like a very middle kind of blend but depending on who I talk to. People say that they can pick up the english accent or they can pick up certain words that sound like a kiwi accent.,1
177,5f1f2cf5a441a30fa1b79b2d,317.94,319.24,All right. Yeah,Okay.,1
178,5ec8a23062738338f917576a,319.24,319.75,Project.,All right. Yeah,1
179,5f1f2cf5a441a30fa1b79b2d,319.64,323.96,well I'm I can't really here obviously.,Project.,2
180,5ec8a23062738338f917576a,323.04,324.67,"Why? Yeah, I got that.",well I'm I can't really here obviously.,1
181,5f1f2cf5a441a30fa1b79b2d,324.64,325.14,Yeah.,"Why? Yeah, I got that.",1
182,5ec8a23062738338f917576a,324.68,329.76,I think I'm more aware of my accent now like after I moved because I went to high school in India. So,Yeah.,2
183,5f1f2cf5a441a30fa1b79b2d,329.94,330.86,Yeah,I think I'm more aware of my accent now like after I moved because I went to high school in India. So,1
184,5ec8a23062738338f917576a,330.14,335.76,like the international school where there's like a lot of people with different accents and they also say I sound like super,Yeah,2
185,5f1f2cf5a441a30fa1b79b2d,335.74,336.16,wow.,like the international school where there's like a lot of people with different accents and they also say I sound like super,1
186,5ec8a23062738338f917576a,335.76,337.69,"american, but",wow.,1
187,5f1f2cf5a441a30fa1b79b2d,337.34,337.66,Yeah,"american, but",1
188,5ec8a23062738338f917576a,337.7,339.78,I feel like compared to a lot of,Yeah,2
189,5f1f2cf5a441a30fa1b79b2d,339.74,340.14,christian.,I feel like compared to a lot of,2
190,5ec8a23062738338f917576a,339.79,340.91,people I don't,christian.,1
191,5f1f2cf5a441a30fa1b79b2d,340.84,341.05,Oh,people I don't,1
192,5ec8a23062738338f917576a,340.91,341.81,I don't know. But,Oh,1
193,5f1f2cf5a441a30fa1b79b2d,341.74,342.19,to,I don't know. But,1
194,5ec8a23062738338f917576a,341.81,342.28,then when I,to,3
195,5f1f2cf5a441a30fa1b79b2d,342.19,342.55,me.,then when I,1
196,5ec8a23062738338f917576a,342.29,346.36,"talked to when I talk to people in the south, I start to get like a southern",me.,2
197,5f1f2cf5a441a30fa1b79b2d,346.14,346.35,Mhm.,"talked to when I talk to people in the south, I start to get like a southern",1
198,5ec8a23062738338f917576a,346.74,347.25,like,Mhm.,1
199,5f1f2cf5a441a30fa1b79b2d,347.14,347.68,All right.,like,1
200,5ec8a23062738338f917576a,347.64,348.59,"yeah,",All right.,1
201,5f1f2cf5a441a30fa1b79b2d,347.69,348.45,Yeah.,"yeah,",1
202,5ec8a23062738338f917576a,348.59,349.17,"I stayed like,",Yeah.,2
203,5f1f2cf5a441a30fa1b79b2d,349.14,349.46,Yeah,"I stayed like,",1
204,5ec8a23062738338f917576a,349.17,351.26,"y'all and like just certain words,",Yeah,2
205,5f1f2cf5a441a30fa1b79b2d,351.54,352.38,does,"y'all and like just certain words,",1
206,5ec8a23062738338f917576a,351.84,352.16,right?,does,1
207,5f1f2cf5a441a30fa1b79b2d,352.46,356.67,accents you can change just basic conversation so,right?,2
208,5ec8a23062738338f917576a,356.14,356.64,Yeah.,accents you can change just basic conversation so,1
209,5f1f2cf5a441a30fa1b79b2d,356.67,358.1,"I'm just doing a fan on, it's so",Yeah.,1
210,5ec8a23062738338f917576a,357.94,358.28,You,"I'm just doing a fan on, it's so",1
211,5f1f2cf5a441a30fa1b79b2d,358.1,358.46,hot.,You,1
212,5ec8a23062738338f917576a,358.28,359.46,look fine.,hot.,1
213,5f1f2cf5a441a30fa1b79b2d,360.14,361.25,Um,look fine.,1
214,5ec8a23062738338f917576a,360.54,362.55,We like living in the U. S. So far.,Um,2
215,5f1f2cf5a441a30fa1b79b2d,363.34,364.99,um Yeah.,We like living in the U. S. So far.,1
216,5ec8a23062738338f917576a,364.54,364.86,Right.,um Yeah.,1
217,5f1f2cf5a441a30fa1b79b2d,365.0,366.25,Um,Right.,1
218,5ec8a23062738338f917576a,365.74,367.83,This is a weird time to move because you can't really,Um,2
219,5f1f2cf5a441a30fa1b79b2d,367.74,368.15,Yeah,This is a weird time to move because you can't really,1
220,5ec8a23062738338f917576a,367.84,369.16,experience it.,Yeah,2
221,5f1f2cf5a441a30fa1b79b2d,369.64,371.65,really weird time to move.,experience it.,2
222,5ec8a23062738338f917576a,370.94,372.34,Yeah.,really weird time to move.,1
223,5f1f2cf5a441a30fa1b79b2d,372.04,377.96,Uh Yeah but I don't know I'm enjoying it so far. Um,Yeah.,2
224,5ec8a23062738338f917576a,377.24,377.45,Mhm.,Uh Yeah but I don't know I'm enjoying it so far. Um,1
225,5f1f2cf5a441a30fa1b79b2d,377.97,381.96,It's just my girlfriend and I we've got an apartment together so,Mhm.,2
226,5ec8a23062738338f917576a,382.14,382.56,All right.,It's just my girlfriend and I we've got an apartment together so,1
227,5f1f2cf5a441a30fa1b79b2d,382.34,398.46,when we were like just stay at home most of the time um Yeah it's weird um Because obviously new Zealand is all like has it's pretty much clear I think I've still got a few cases but,All right.,2
228,5ec8a23062738338f917576a,399.04,399.15,All,when we were like just stay at home most of the time um Yeah it's weird um Because obviously new Zealand is all like has it's pretty much clear I think I've still got a few cases but,1
229,5f1f2cf5a441a30fa1b79b2d,399.04,399.28,like,All,3
230,5ec8a23062738338f917576a,399.15,399.25,right.,like,1
231,5f1f2cf5a441a30fa1b79b2d,399.28,404.06,the handle coronavirus pretty well. So then leaving that and coming there I've had,right.,2
232,5ec8a23062738338f917576a,404.04,404.66,Yeah.,the handle coronavirus pretty well. So then leaving that and coming there I've had,1
233,5f1f2cf5a441a30fa1b79b2d,404.06,409.72,"to kind of change, change my mindset into being back into lockdown mode and like being",Yeah.,2
234,5ec8a23062738338f917576a,409.34,410.44,Yeah.,"to kind of change, change my mindset into being back into lockdown mode and like being",1
235,5f1f2cf5a441a30fa1b79b2d,409.72,410.56,really,Yeah.,1
236,5ec8a23062738338f917576a,410.94,411.12,And,really,1
237,5f1f2cf5a441a30fa1b79b2d,410.94,412.07,uh,And,1
238,5ec8a23062738338f917576a,411.12,412.3,now I'm sorry.,uh,1
239,5f1f2cf5a441a30fa1b79b2d,412.08,415.16,that's a big difference. Um,now I'm sorry.,2
240,5ec8a23062738338f917576a,414.54,414.75,Mhm.,that's a big difference. Um,1
241,5f1f2cf5a441a30fa1b79b2d,415.84,422.25,"And yeah, I don't know. It's it's not like crazy different. Um.",Mhm.,2
242,5ec8a23062738338f917576a,421.74,422.14,Yes.,"And yeah, I don't know. It's it's not like crazy different. Um.",1
243,5f1f2cf5a441a30fa1b79b2d,423.04,426.55,Right. Yeah.,Yes.,1
244,5ec8a23062738338f917576a,424.84,427.96,"I'm sure to be able to have time to settle in. Well,",Right. Yeah.,2
245,5f1f2cf5a441a30fa1b79b2d,428.14,428.75,What's,"I'm sure to be able to have time to settle in. Well,",1
246,5ec8a23062738338f917576a,428.34,428.75,"yeah,",What's,1
247,5f1f2cf5a441a30fa1b79b2d,428.75,429.23,"that, sorry?","yeah,",1
248,5ec8a23062738338f917576a,429.64,433.66,I'm sure it's nice to be able to like have time to settle in at least. So.,"that, sorry?",2
249,5f1f2cf5a441a30fa1b79b2d,433.34,436.96,"Yeah,",I'm sure it's nice to be able to like have time to settle in at least. So.,1
250,5ec8a23062738338f917576a,435.14,436.96,Yeah. Yeah.,"Yeah,",1
251,5f1f2cf5a441a30fa1b79b2d,437.64,441.02,it does make um finding where I can get more difficult.,Yeah. Yeah.,1
252,5ec8a23062738338f917576a,441.84,442.34,Right.,it does make um finding where I can get more difficult.,1
253,5f1f2cf5a441a30fa1b79b2d,441.84,442.35,Um,Right.,1
254,5ec8a23062738338f917576a,442.35,444.16,Yeah. Well,Um,1
255,5f1f2cf5a441a30fa1b79b2d,443.84,444.2,Well I'm,Yeah. Well,2
256,5ec8a23062738338f917576a,444.17,444.72,about,Well I'm,1
257,5f1f2cf5a441a30fa1b79b2d,444.2,444.46,just,about,1
258,5ec8a23062738338f917576a,444.72,447.96,a job as a contact tracer recently. So maybe you could look into that.,just,2
259,5f1f2cf5a441a30fa1b79b2d,447.84,449.06,"Oh, true.",a job as a contact tracer recently. So maybe you could look into that.,1
260,5ec8a23062738338f917576a,449.04,450.08,Yeah. And it tastes,"Oh, true.",1
261,5f1f2cf5a441a30fa1b79b2d,449.94,450.14,Yeah.,Yeah. And it tastes,1
262,5ec8a23062738338f917576a,450.08,451.25,really well. So,Yeah.,1
263,5f1f2cf5a441a30fa1b79b2d,451.24,451.74,Yeah.,really well. So,1
264,5ec8a23062738338f917576a,451.25,457.07,I'm public health. So it was pretty easy for me to like kind of get that job. But I know,Yeah.,2
265,5f1f2cf5a441a30fa1b79b2d,456.94,457.35,Yeah.,I'm public health. So it was pretty easy for me to like kind of get that job. But I know,1
266,5ec8a23062738338f917576a,457.07,460.66,"that they are hiring like outside people as well. Well,",Yeah.,2
267,5f1f2cf5a441a30fa1b79b2d,460.36,463.66,"And what is that involved, like just finding people up?","that they are hiring like outside people as well. Well,",1
268,5ec8a23062738338f917576a,463.44,464.65,"yeah, so I just","And what is that involved, like just finding people up?",1
269,5f1f2cf5a441a30fa1b79b2d,464.44,464.64,Yeah.,"yeah, so I just",1
270,5ec8a23062738338f917576a,464.65,473.0,"call people and like let them know what their exposure period or like the incubation period and when they were exposed, usually",Yeah.,2
271,5f1f2cf5a441a30fa1b79b2d,472.54,473.56,Okay.,"call people and like let them know what their exposure period or like the incubation period and when they were exposed, usually",1
272,5ec8a23062738338f917576a,473.0,477.85,they do know already. But then we monitor their symptoms over either calling them or text. So,Okay.,2
273,5f1f2cf5a441a30fa1b79b2d,477.94,478.65,Yeah.,they do know already. But then we monitor their symptoms over either calling them or text. So,1
274,5ec8a23062738338f917576a,478.34,478.66,yeah.,Yeah.,1
275,5f1f2cf5a441a30fa1b79b2d,478.66,479.04,Yeah.,yeah.,1
276,5ec8a23062738338f917576a,479.04,480.06,Cool. It's,Yeah.,1
277,5f1f2cf5a441a30fa1b79b2d,480.04,480.55,Permanent.,Cool. It's,2
278,5ec8a23062738338f917576a,481.14,481.76,sorry.,Permanent.,1
