 "speaker,utterance,merged_lines
A,'oh+my+god . I've got greens and lights on everything it's just it's so fun .',[159]
B,'oh shut up [ECHO] isn't it pretty .',[160]
A,'yeah it is it looks really cool .',[161]
B,'I love that [LIPSMACK] .',[162]
A,'um . but because last year I didn't get to do it because the baby you',[163]
B,'yeah .',[164]
A,'so I was like oh I want to decorate so bad .',[165]
B,'I bet .',[166]
A,'so I had fun .',[167]
B,'I bet Scott's getting big I li- .',[168]
A,'oh he's such a monster .',[169]
B,'is he ?',[170]
A,'yes .',[171]
B,'[LAUGHS] .',[172]
A,'uh hey did you get our package .',[173]
B,'yes .',[174]
A,'you did did you see the pictures .',[175]
B,'yes . [INHALES] . We were supposed to tell you we didn't open it [LAUGHS] .'"
