speaker,utterance,relational_score,info_score
A,All the little logistical things that hopefully with time will get,3,2
B,They drive you crazy . We're also in the shfelah@s:heb here . Like we're around w- we're very uh .,3,3
A,[UNINTELLIGIBLE] . oh really . So what because th- that means .,2,2
B,Humid .,2,2
A,"Humid, right .",3,2
B,It's really hot and humid . And um .,3,3
A,"You don't have an air conditioner, do you ?",3,3
B,[UNINTELLIGIBLE] That's for sure not . [UNINTELLIGIBLE] Air conditioner is like eight thousand shekel .,2,3
A,huh .,2,1
B,[BREATH] .,2,1
A,Really ?,3,2
B,But uh yeah ridicu- .,2,2
A,"Well well that makes sense, eight thousand th- what ? Eight thousand shekel . That's u- .",3,3
B,"yeah, that's how much .",3,2
A,"That's four thousand, that's uh three thousand dollars .",3,4
B,Right .,3,2
A,American .,2,2
B,yeah th- it's they have systems that can go heating or air,3,3
A,[BREATH] . yeah we have them here also I'm saying but [BREATH] .,3,2
B,But .,3,1
A,We can you can you can get here a wall unit for four uh for four,2,3
B,Right . Well [UNINTELLIGIBLE] and here everything is raised .,3,2
A,[UNINTELLIGIBLE] It hasn't it hasn't gotten there yet . I hear .,3,2
B,yeah so well we're g- we're going to get ceiling fans and stuff,3,3
A,oh . That's important . I have even here in Lakewood in our in our apartment we have a,3,2
B,yeah and it makes a difference huh .,3,2
A,Sure it does . We have a a I have an air conditioner too but it's a shvache@s:yid So together with the ceiling fan it cools the place down .,3,4
B,[UNINTELLIGIBLE] . Right . Right . So we're going to get .,3,2
A,So we had an unbearable summer here . oh you were in Toronto . You know what the summer was like .,3,2
B,Right but I've never been in Lakewood is worse see .,3,3
A,yeah . Lakewood's worse . yeah .,3,2
B,Right .,3,2
A,It was really hot .,3,3
B,yeah it's humid right ?,3,2
A,Very humid . I mean we had days when it was in the high nineties with [UNINTELLIGIBLE] .,3,4
B,[SNORT] . So awful .,2,2
A,High humidity also .,2,3
B,It's funny you know that the fan in in Yerushalayim I never like,3,2
A,"yeah but there, I'm telling you, there it does .",3,2
B,The dry air . But like with with wet air .,2,2
A,mhm . It really makes a difference .,3,2
B,You know the fan really does make a difference .,3,3
A,It really makes a difference . It's so [BREATH] . I- i- you know it's the difference between sometimes sleeping at,3,3
B,Totally . Totally . Without the fan we couldn't sleep . And then Danny like didn't want the windows open because of the,3,3
A,"or or . So, I mean . Because of the bugs oh man .",3,3
B,And then the trisim@s:heb weren't s- closing and so the sun was,3,3
A,uhhuh .,2,1
B,"e- and we came in the chamsin@s:heb like [GASP] it was awful . The first few days were awful, awful .",4,4
A,It's a nightmare .,3,3
B,But uh .,2,2
A,uhhuh .,2,1
B,yeah we're hav- we're trying so we're trying to get set up with the,3,3
A,[LIPSMACK] right .,3,1
B,"+, for the fan .",3,2
A,It's hard .,3,2
B,You know we're borrowing now we're borrowing a fan and then we have,3,3
A,uhhuh .,2,1
B,We're borrowing one from the shul@s:heb you know like oh whatever . It's a whole thing [BREATH] .,3,4
A,huh . I hear .,3,2
B,"So whatever . Until it gets, I I figure not like until the chagim@s:heb it's not",2,2
A,It's not going to be that . uhhuh .,3,2
B,It's .,3,2
A,[UNINTELLIGIBLE] .,2,1
B,It's not going to be together like we're just not .,3,2
A,smooth ride anyway .,3,2
B,Right .,2,2
A,Right . I see .,3,2
B,So anyway that's the full +/.,3,4
A,yeah .,2,1
B,"+, report so now you can uh fill me in on yours .",3,3
A,Well just speaking about a smooth ride I mean . well my I guess o- our little tekel@s:heb is that uh my uh our pot . so [LAUGHS] .,3,2
B,oh no [BREATH] .,2,2
A,So nah okay that's life .,3,2
B,"It's it's gone huh, no .",2,2
A,yeah I mean it's not it's not worth it to fix . Put it that way .,3,3
B,It's not recoverable . r- right . So you have to now buy a new one .,2,4
A,"yeah . So I'm looking for a new car, yeah .",3,3
B,"So what are you going to do like Shmieler did, or .",3,3
A,"[UNINTELLIGIBLE] . No, no, I don't think so . Shmieler . Shmieler doesn't even have his yet .",3,3
B,sh- .,2,2
A,He didn't get the car yet even .,3,3
B,What happened ?,3,4
A,It's just uh ti- logistical problems also . It's not so simple and uh . America and Canada and insurance and [BREATH] . all the different laws it's eh you know .,3,4
B,<it's no> [?] .,2,1
A,I don't know he's being uh he's uh it's mesubach@s:heb very Put it that w- .,2,2
B,oy [BREATH] .,2,1
A,So he didn't realize how how much it would be . He he hopes to get it one of these weeks . Hopefully before Rosh Hashanah .,3,3
B,[LIPSMACK] .,2,1
A,But uh .,2,1
B,So what is he doing ? Does he have ah is he .,3,3
A,yeah he has his his old car still .,3,3
B,His old car is still running .,3,3
A,"Still running . yeah, yeah . He's doing better than me . I'm on two feet .",3,2
B,Really .,3,2
A,Like here it's diffi- it's really hard to not to have a car . It's not the same .,4,4
B,"To function without a car, sure .",3,2
A,"Because there's no public transportation really, and it .",3,3
B,Right . oy_va_voy@s:yid [BREATH] So what are you doing ? Are you getting lifts ?,3,3
A,So I'm looking for a used car and I'm shnurring@s:yid lifts and I And uh and I walk a_lot .,3,4
B,Right and ho- and how d- . and how does uh uh Tova get around ?,3,3
A,Tova gets rides to work or else she gets a . or else she gets . uh she takes a bus . instead of going shopping we order .,3,4
B,She orders stuff .,3,3
A,"we order from the most more expensive pl- you know, y- y- you you",3,3
B,Right . You . So how l- how long ago did this happen ?,3,2
A,It's uh three about three weeks ago . uh pi- [LIPSMACK] .,3,3
B,oh man [BREATH] .,3,2
A,I mean I could buy a just any car but I'm I'm you know it's not,3,3
B,e- yeah without really .,2,2
A,[UNINTELLIGIBLE] I'm .,2,2
B,putting your money where .,3,2
A,the . do research and uh I mean I'm buying of course secondhand . It's still a few thou- it's still a few thousa- I I have to get,3,3
B,But you want a good . second . Right . Ri- .,3,2
A,So it a can't be just a a junk a piece of junk .,3,3
